customer_tweet_id,customer_text,brand_response,suggested_intent,suggested_confidence,suggested_auto_or_escalate,suggested_escalation_reason,intent,auto_or_escalate,escalation_reason,human_notes
1583770,"@AppleSupport worst apple service centre at iVenus, ghod dod road,Surat never will go there for any kind of service..non sense people",@487398 That's not what we like to hear. Send us a DM by clicking on the link below. We'll continue there. https://t.co/GDrqU22YpT,app_service,0.381,ESCALATE,Low intent confidence,app_service,AUTO-HANDLE,Routine troubleshooting,
1892859,@AppleSupport this is annoying my phone keeps asking for my password over and over when trying to download apps I’m running off 11.0.3 on 📱8,"@564390 We're glad you reached out to us. We understand how important it is to download apps, and want to help. DM us to get started. https://t.co/GDrqU22YpT",account_access,0.739,ESCALATE,Account-access issue requires human review,account_access,ESCALATE,Billing or account issue requires human review,
299034,"@115858 @AppleSupport su nueva actualización de IOS se chupa la pila en 3 horas, es imposible!!!!!",@187273 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3w3RGR or join https://t.co/OczyRxpjG0,ios_update,0.484,ESCALATE,Low intent confidence,ios_update,AUTO-HANDLE,Routine troubleshooting,
1484368,@464709 @115858 @AppleSupport é problema no ios mesmo.,"@464708 Since our Twitter support is available in English, get help at https://t.co/IBIY3vMgPj or join https://t.co/pvaOFfPbjt",ios_update,0.496,ESCALATE,Low intent confidence,ios_update,AUTO-HANDLE,Routine troubleshooting,
2900377,@AppleSupport There arent many options on the site provided. You say you dont have enough info to reset my questions....now I am locked out of managing my account,@268858 We recommend contacting our Account Security team using this link:https://t.co/UJm15vmMM2 You can also use this article to find a number to call: https://t.co/mq28K5VwJP,app_service,0.323,ESCALATE,Low intent confidence,account_access,ESCALATE,Billing or account issue requires human review,
2779343,@AppleSupport I'm having a nightmare resetting my iPad because the email account I created it with doesn't exist anymore,@776316 We can certainly take a look at this with you. Have you already erased your iPad? Or is that the step you're on right now? DM us and let us know. https://t.co/GDrqU22YpT,app_service,0.414,ESCALATE,Low intent confidence,account_access,ESCALATE,Billing or account issue requires human review,
1704710,@AppleSupport Thanks,"@516715 You're welcome, it's our pleasure. We look forward to hearing from you if any questions come up.",app_service,0.958,AUTO-HANDLE,Routine troubleshooting with sufficient evidence,app_service,AUTO-HANDLE,Routine troubleshooting,
2143922,I️ never realized how much the letter “I️” is used until this @115858 glitch.,@630338 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,device_performance,0.698,AUTO-HANDLE,Routine troubleshooting with sufficient evidence,device_performance,AUTO-HANDLE,Routine troubleshooting,
332083,@AppleSupport low power mode is NOT on. Home button doesn’t wake / turn on phone. Tons of users complaining about this! https://t.co/O0DUDIssmh,@180656 We'd like to look into this further with you. DM us using the link below. We'll work from there. https://t.co/GDrqU22YpT,app_service,0.449,ESCALATE,Low intent confidence,app_service,AUTO-HANDLE,Routine troubleshooting,
2310623,Hey @AppleSupport how do I take advantage of the warrantee on the iPhone charger?,"@670137 We'd love to help! Please send us a DM, and we'll look into your options together. https://t.co/GDrqU22YpT",device_hardware,0.819,AUTO-HANDLE,Routine troubleshooting with sufficient evidence,billing_subscription,ESCALATE,Billing or account issue requires human review,
1752034,@AppleSupport No just his truck. 🙃,@527843 Thanks for confirming. Take a look at this article to resolve this issue and let us know if it helps: https://t.co/rZfGUpIk6d,app_service,0.674,AUTO-HANDLE,Routine troubleshooting with sufficient evidence,app_service,AUTO-HANDLE,Routine troubleshooting,
1709992,@AppleSupport  MacBook Air 1.7 GHz i7 running El Capitan.  Firmware update has been in App Store update for long time.  I reset the SMC,@502594 Let's use this link to discuss what you're trying to accomplish further: https://t.co/GDrqU22YpT,ios_update,0.664,AUTO-HANDLE,Routine troubleshooting with sufficient evidence,ios_update,AUTO-HANDLE,Routine troubleshooting,
2041674,@AppleSupport Nevermind. It fixed by itself anyways.,"@603689 If you need anything else, come back and let us know! We're here every day from 5am-8pm Pacific time.",app_service,0.658,AUTO-HANDLE,Routine troubleshooting with sufficient evidence,app_service,AUTO-HANDLE,Routine troubleshooting,
1799716,help I got the new iPhone 8+ but now my photos app won’t work pls fix it @ATT @115858 @160959,@540759 Let's get you to the best place for help with Photos. Please reach out to our phone team here:  https://t.co/IBIY3vMgPj https://t.co/GDrqU22YpT,other,0.343,ESCALATE,Low intent confidence,app_service,AUTO-HANDLE,Routine troubleshooting,
1851594,@AppleSupport Issue resolved via YouTube. Chat window never loaded. Tried to cancel my Genius Bar appointment and got “…unable to complete your request”.,@554205 We're glad to hear the issue is resolved. Please DM us and we can help cancel the Genius Bar reservation for you. https://t.co/GDrqU2kzhr,app_service,0.463,ESCALATE,Low intent confidence,app_service,AUTO-HANDLE,Routine troubleshooting,
2784571,@115858 we’re having some issues with the capital i ... if you could fix it that would be amazing. Considering you guys are charging $1000+ for a phone.,@777496 We'd be happy to help. Send us a DM with the iOS version you are using and we can start there. https://t.co/GDrqU22YpT,device_hardware,0.516,ESCALATE,Low intent confidence,device_hardware,AUTO-HANDLE,Routine troubleshooting,
2552502,"Brother bought an iphone X and used it for a week now its not working its just not getting started @115858 can u plz help???? can I expect a replacement.

Please RT",@725024 That's not what we'd expect and we're happy to help you get to the bottom of this issue. Please start by taking a look at this article: https://t.co/8MvHMFZ83h Let us know if you're still having issues.,other,0.428,ESCALATE,Low intent confidence,other,AUTO-HANDLE,Routine troubleshooting,
1117144,Thank you @115858 for wrecking my #iPhone6 with update #iOS11 #nastybusiness,@383597 Please let us know what's going on after the update. We'd love to help with your iPhone.,ios_update,0.949,AUTO-HANDLE,Routine troubleshooting with sufficient evidence,ios_update,AUTO-HANDLE,Routine troubleshooting,
1467820,Why is the letter “I” coming up as a question mark &amp, exclamation? Fix that shit @115858,"@460704 We'd like to help. When you have a moment, please send us a DM so we can go over some information. https://t.co/GDrqU22YpT",other,0.83,AUTO-HANDLE,other,AUTO-HANDLE,Routine troubleshooting,
1119370,@AppleSupport No.,@384111 Let's go ahead and continue in DM. https://t.co/GDrqU22YpT,app_service,0.926,AUTO-HANDLE,Routine troubleshooting with sufficient evidence,app_service,AUTO-HANDLE,Routine troubleshooting,
2004944,@AppleSupport where’s my playlist,@592889 We're happy to help. What device are you using? When was the last time you had access to your playlist? Let us know in DM: https://t.co/GDrqU22YpT,app_service,0.691,AUTO-HANDLE,Routine troubleshooting with sufficient evidence,app_service,AUTO-HANDLE,Routine troubleshooting,
942767,"Uhh @115858 pls explain why my iOS updated automically &amp; now nothing works.. photos will not delete from camera roll, network will not allow me to make/ receive calls, battery is 💩 #wtf",@343496 We want to help. Meet us in DM and we'll work towards a solution together. https://t.co/GDrqU22YpT,ios_update,0.417,ESCALATE,Low intent confidence,connectivity,AUTO-HANDLE,Routine troubleshooting,
2276298,"@AppleSupport I won't get a response even when i ask ""this id looks like real, is it an official apple id or not?"". Wow. What a customer service. My iphone is my last apple product then.",@662059 The email reaches the appropriate department that handles issues such as this. We would be happy to look further into the email that you received. Send us a DM by clicking on the link below. We'll continue there. https://t.co/GDrqU22YpT,account_access,0.822,ESCALATE,Account-access issue requires human review,account_access,ESCALATE,Billing or account issue requires human review,
324566,@115858 I did the iOS11 update (have iPhone 7) and now my battery life is worse then the iPhone 5.  What happened?  @AppleSupport,@193319 We want to look into your battery issue with you. DM us using the link below. https://t.co/GDrqU22YpT,ios_update,0.915,AUTO-HANDLE,Routine troubleshooting with sufficient evidence,ios_update,AUTO-HANDLE,Routine troubleshooting,
2341853,"@AppleSupport the iPhone X battery dies so fast, I had 100% and it’s nearly run out 1 hour later. L.","@677394 We're very happy to look into your battery with you. Please let us know which version of iOS 11 is installed on your new iPhone X. If the version is not iOS 11.1.1, please follow these instructions to update it: https://t.co/oKZOdSPLR1",device_hardware,0.792,AUTO-HANDLE,Routine troubleshooting with sufficient evidence,device_hardware,AUTO-HANDLE,Routine troubleshooting,
215806,@AppleSupport So every time I go for a walk my cellular data stays off and I keep manually have to turn it on since the update I’ve never had to do this,@167320 DM us and we can work from there. https://t.co/GDrqU22YpT,ios_update,0.5,ESCALATE,Low intent confidence,connectivity,AUTO-HANDLE,Routine troubleshooting,
2185392,@AppleSupport It doesn't connect only when it turns on automatically.,"@154498 When it automatically turns on, does it automatically connect to any Wi-Fi network?",app_service,0.534,ESCALATE,Low intent confidence,app_service,AUTO-HANDLE,Routine troubleshooting,
1516144,"My phone jumped from 20% to dead in 2 mins..it NEVER did that before iOS 11, but @AppleSupport couldn’t find an issue with my battery. Okay.",@471766 Let's help take a closer look. Please DM us the country you're in and we can go from there. https://t.co/GDrqU22YpT,ios_update,0.652,AUTO-HANDLE,Routine troubleshooting with sufficient evidence,ios_update,AUTO-HANDLE,Routine troubleshooting,
930867,"@AppleSupport ever since I updated my iPhone to the highest iOS 11 update, its been freezing many times a day and I have to manually restart",@340811 We're happy to look into this with you. Please DM us the exact iOS 11 version installed &amp, we'll find a solution. https://t.co/GDrqU22YpT,ios_update,0.975,AUTO-HANDLE,ios_update,AUTO-HANDLE,Routine troubleshooting,
740616,Hey @AppleSupport can you message me I have a question about updating my IOS,@297128 We'd be happy to answer! Send us a DM using this link: https://t.co/GDrqU22YpT,ios_update,0.414,ESCALATE,Low intent confidence,ios_update,AUTO-HANDLE,Routine troubleshooting,
1168451,@AppleSupport Battery was on 59% phone hot plugged in 2 mins later battery on 78%??????,@394841 Thanks for reaching out to us. Please send us a DM and we can chat with you there. https://t.co/GDrqU22YpT,device_hardware,0.838,AUTO-HANDLE,Routine troubleshooting with sufficient evidence,device_hardware,AUTO-HANDLE,Routine troubleshooting,
1040162,@AppleSupport when are you going to sort the bloody update? Phone is freezing constantly battery dying and speakers/ volume not working....,"@366088 We'd like to learn more. Which iPhone, and iOS version, are you using?",device_hardware,0.463,ESCALATE,Low intent confidence,ios_update,AUTO-HANDLE,Routine troubleshooting,
1484383,@AppleSupport hi! I keep getting this error!? But I’m not trying to purchase anything?What does it mean? https://t.co/wqQE4ynu13,@464713 Help is on the way. Send us a DM to get started. https://t.co/GDrqU22YpT,billing_subscription,0.777,ESCALATE,Billing or subscription issue requires human review,billing_subscription,ESCALATE,Billing or account issue requires human review,
553661,Dear @AppleSupport your iOS update 11.2 broke my visual voicemail. https://t.co/JTJt5dGYKf,"@249146 Thanks for reaching out. Since the update have you completed a normal restart of your iPhone? If not, do so now and let us know the results. We want to ensure your visual voicemail is working again.",ios_update,0.941,AUTO-HANDLE,Routine troubleshooting with sufficient evidence,ios_update,AUTO-HANDLE,Routine troubleshooting,
2562296,@115858 need to hurry up and bring out an update that will stop my phone from feeezing every two minutes. It’s really starting to piss me off now. The phone has its own mind mothers.,@727151 We want to help. What model iPhone do you have and what iOS is it on? Does it become completely unresponsive or just very slow? Does it happen with any app or just certain ones? Let us know and we'll continue to work with you on this.,ios_update,0.434,ESCALATE,Low intent confidence,ios_update,AUTO-HANDLE,Routine troubleshooting,
1982054,@AppleSupport my iPhone is acting really retarded after you guys launched iPhone x now I can make certain calls and my whole system is slow,@586696 We're happy to look into these issue with you. Please DM us the iOS version currently installed to get started. https://t.co/GDrqU22YpT,device_performance,0.296,ESCALATE,Low intent confidence,device_performance,AUTO-HANDLE,Routine troubleshooting,
1339792,When you accidentally order the #iPhoneX via straight payment instead of the Upgrade Plan 😩 Need to cancel my order @115858 😵,@295219 We can help.  Reach out to here for assistance: https://t.co/8yjRd1Xo0i,other,0.26,ESCALATE,Low intent confidence,billing_subscription,ESCALATE,Billing or account issue requires human review,
1655575,@AppleSupport why the frick does my keyboard keep fricking up and making weird question marks &amp,&amp, stuff when I️ post ??? ?? ??,@505241 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,device_hardware,0.651,device_hardware,AUTO-HANDLE,Routine troubleshooting,
1891056,@AppleSupport my iPhone 7s is less than a year old yet I have to hard restart it almost twice a day...why?,@563924 We'd love to help! Which version of iOS are you using at the moment? Please send us a DM with your answer. https://t.co/GDrqU22YpT,app_service,0.342,ESCALATE,Low intent confidence,app_service,AUTO-HANDLE,Routine troubleshooting,
